text,label
he are very kind,0
you are very helpful,0
Nobody likes how he cannot do anything right,1
you are so useless,1
I think that girl explained clearly,0
I think this guy did a great job,0
I think you made it better,0
Nobody likes how she ruins everything,1
that girl are very kind,0
"Honestly, he cannot do anything right",1
Everyone agrees you are kind,0
I think you made it better,0
Everyone agrees they are smart,0
I hate how he ruins everything,1
"Honestly, she is doing well",0
I hate how she is a total failure,1
Everyone agrees she are kind,0
"Honestly, you is the worst",1
this guy is absolutely annoying,1
he seem really helpful today,0
Everyone agrees this guy are brilliant,0
I hate how you makes everything bad,1
he are so stupid,1
"Honestly, you is a total failure",1
she are very amazing,0
Everyone agrees that girl are smart,0
"Honestly, you makes everything bad",1
Everyone agrees they are amazing,0
they are so annoying,1
he seem really amazing today,0
he seem really kind today,0
"Honestly, this guy is doing well",0
Nobody likes how this guy is the worst,1
I hate how they is a total failure,1
I think they improved a lot,0
I think she made it better,0
Nobody likes how that girl cannot do anything right,1
you seem really kind today,0
you is absolutely dumb,1
"Honestly, she should just quit",1
Nobody likes how this guy makes everything bad,1
Nobody likes how he is the worst,1
"Honestly, you should just quit",1
she are so useless,1
"Honestly, she makes everything bad",1
"Honestly, this guy should just quit",1
Everyone agrees this guy are helpful,0
I hate how that girl should just quit,1
Nobody likes how he makes everything bad,1
I hate how they is a total failure,1
"Honestly, she is a total failure",1
she seem really brilliant today,0
Everyone agrees she are kind,0
that girl seem really amazing today,0
he are very kind,0
"Honestly, that girl makes everything bad",1
Nobody likes how he is a total failure,1
you are so stupid,1
they are so annoying,1
he is absolutely pathetic,1
I hate how they makes everything bad,1
they seem really amazing today,0
"Honestly, they cannot do anything right",1
this guy are so annoying,1
"Honestly, this guy explained clearly",0
they is absolutely useless,1
you is absolutely worthless,1
she are very smart,0
Everyone agrees you are helpful,0
"Honestly, they should just quit",1
he are so pathetic,1
Everyone agrees they are talented,0
I hate how she cannot do anything right,1
Nobody likes how he makes everything bad,1
he is absolutely dumb,1
"Honestly, they makes everything bad",1
I think you is doing well,0
I hate how this guy makes everything bad,1
"Honestly, they handled it nicely",0
Nobody likes how that girl ruins everything,1
this guy seem really talented today,0
she are very amazing,0
I think they made it better,0
Nobody likes how you ruins everything,1
"Honestly, she makes everything bad",1
"Honestly, he cannot do anything right",1
they is absolutely pathetic,1
Nobody likes how that girl makes everything bad,1
I hate how that girl is a total failure,1
